Account,total_trades,total_pnl,avg_pnl,win_trades,loss_trades,win_rate,avg_roi,median_roi,max_drawdown,avg_holding_time,profit_factor,pnl_per_trade
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.819979,419.1277684596647,1373,359,0.3596123624934521,0.03256511678590857,0.0,327934.1042560004,0.4829972065625535,4457.464679607242,419.1277684596647
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,47885.320514,6.5776539167582415,3223,943,0.4427197802197802,0.0010741639830563782,0.0,22505.512853999928,0.4845188461003856,50.779767247083775,6.5776539167582415
0x271b280974205ca63b716753467d5a371de622ab,3809,-70436.191318,-18.49204287687057,1150,457,0.3019165135206091,0.00012149935644409692,0.0,132868.175087,0.4852644350393573,-154.12733329978118,-18.49204287687057
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,132464.814554,9.951529904139434,5838,934,0.43858462925400044,0.05240811125713732,0.0,20849.96769999998,0.48199212353245996,141.82528324839402,9.951529904139434
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,168658.004994,52.0710111126891,1684,376,0.5199135535659154,0.023537037616554166,0.0028738035409433,3323.090681999922,0.4826831386452917,448.55852392021274,52.0710111126891
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,-31203.599986,-38.28662574969325,371,199,0.45521472392638035,-0.4626373519164081,0.0,72378.920559,0.482566450039909,-156.8020099798995,-38.28662574969325
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,14456.919335999997,4.0281190682641395,1176,591,0.32766787405962666,0.005707852497892538,0.0,165878.95836699984,0.4832219241873305,24.461792446700503,4.0281190682641395
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,53496.247243,161.13327482831323,158,0,0.4759036144578313,0.04255941330724995,0.0,0.0,0.4817352716264122,,161.13327482831323
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199505.592732,520.9023308929503,90,0,0.2349869451697128,0.1302441302156638,0.0,0.0,0.48242674869473817,,520.9023308929503
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,416541.872341,336.735547567502,599,0,0.48423605497170574,0.13413984747324048,0.0,0.0,0.4819433124582648,,336.735547567502
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,103343.716161,12.130967972884141,3011,652,0.35344524005164923,0.019182449311659182,0.0,19322.08860599989,0.48218166029806214,158.50263214877302,12.130967972884141
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,677747.050643,155.58931373806246,2118,115,0.48622589531680444,0.01537297380030694,0.0,7577.27,0.4832657291772965,5893.452614286957,155.58931373806246
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,308975.869716,40.740489150316456,2733,216,0.3603639240506329,0.0016282136417484787,0.0,113383.71528999996,0.48098701945428557,1430.4438412777777,40.740489150316456
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,840422.555216,68.68441935403726,4909,573,0.40119320039228507,0.009598506318254627,0.0,84803.25168200003,0.48469838436447615,1466.7060300453752,68.68441935403726
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,108731.216772,111.51919668923077,421,5,0.4317948717948718,0.20893123724219032,0.0,89.17809999999008,0.483056979805478,21746.2433544,111.51919668923077
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,429355.565915,270.0349471163522,550,187,0.34591194968553457,0.017011615347871063,0.0,58219.75226099987,0.4837770779308726,2296.019069064171,270.0349471163522
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,403011.504159,281.8262266846154,438,126,0.3062937062937063,0.076934116296373,0.0,12239.233668999746,0.4826592913667937,3198.5040012619047,281.8262266846154
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,379095.406711,38.3195599627009,8022,638,0.8108763772364298,0.027667399882256204,0.0283908943374709,22517.283583999786,0.48074845767489827,594.1934274467085,38.3195599627009
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,14900.443047,9.557692781911483,705,41,0.45221295702373315,0.003119391529159084,0.0,869.1459780000005,0.48334224230445455,363.42544017073175,9.557692781911483
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,-167621.124781,-36.43145507085416,1761,580,0.38274288198217776,0.040947513868715174,0.0,443038.34972500004,0.4842481068092624,-289.0019392775862,-36.43145507085416
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,65513.657906,34.2823955552067,631,83,0.33019361590790164,0.006886085189925604,0.0,4968.4879479999945,0.4833347888685438,789.3211795903615,34.2823955552067
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,43917.008976,2.928191023869849,3929,2630,0.26196826243499133,0.001704852928878178,0.0,34260.13481499959,0.4822885379927648,16.698482500380226,2.928191023869849
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,126578.942134,41.47409637418087,871,21,0.2853866317169069,0.013138170045239528,0.0,621.5450600000186,0.4829000978477557,6027.568673047619,41.47409637418087
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,106302.875256,6.81210350887536,5396,165,0.3457866068567767,0.004412356213598033,0.0,8766.773925999856,0.482961122663627,644.2598500363637,6.81210350887536
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,72846.484272,174.6918088057554,239,16,0.5731414868105515,0.27606412644074313,0.194647792319765,14725.235409,0.4809285566527897,4552.905267,174.6918088057554
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,67845.619531,120.50731710657195,230,0,0.40852575488454707,0.04855910719093142,0.0,0.0,0.48333821769361107,,120.50731710657195
